,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
142,            Cash and security holdings,"6,277,845,436",0.12,"57,110,489",0.29,"90,036,464",0.06,"87,240,774",0.26,"43,536,648",0.55,"1,064,296,799",0.39,"103,532,930",0.79,"61,801,535",1.57,"18,211,539",0.3,"15,554,117",0,"338,014,708",0.75,"141,349,861",0.62,"24,547,323",0,"27,131,373",0.47,"246,191,666",0.38,"80,499,620",0.34,"54,259,020",0.26,"39,553,107",1.16,"59,314,844",0.6,"88,108,238",0.32,"21,284,676",0.41,"100,312,603",1.99,"119,608,884",0.81,"147,080,324",0.79,"111,280,473",0.32,"40,032,949",0.24,"112,065,477",0.83,"21,771,557",0.09,"32,809,791",0.91,"50,270,223",0.11,"17,930,163",0.31,"141,652,368",0.24,"61,658,637",0.14,"643,813,406",0.08,"134,604,765",0.12,"29,944,630",1.23,"285,003,561",0.75,"58,000,413",0.21,"109,593,285",0.36,"205,866,540",1.35,"19,443,391",0.31,"61,414,949",0.16,"19,222,083",0.17,"93,299,973",0.41,"484,501,154",0.41,"42,714,223",0.25,"9,195,906",0.45,"134,871,405",0.34,"133,311,370",0.27,"25,046,813",0.17,"134,314,401",0.16,"35,633,988",0.84
143,Insurance trust funds,"3,824,118,971",0.12,"32,737,547",0.05,"10,399,027",0,"46,330,090",0.01,"26,871,168",0.03,"749,638,395",0.1,"56,912,109",1.02,"38,974,877",2.48,"10,206,622",0.54,"9,649,901",0,"181,536,563",1.18,"97,044,680",0.8,"14,215,978",0,"16,002,714",0,"154,260,336",0.47,"30,645,401",0.15,"33,233,655",0,"18,950,582",0,"31,773,917",0.05,"47,933,511",0.37,"13,443,845",0,"70,386,435",2.83,"68,103,206",1.42,"85,671,324",1.18,"64,908,079",0.04,"27,298,607",0,"68,707,520",1.09,"11,262,689",0.01,"16,639,924",1.17,"35,211,146",0,"8,337,948",0,"81,178,031",0,"26,176,228",0,"459,177,895",0,"90,541,735",0,"6,983,465",0,"196,341,372",0,"35,195,462",0.09,"80,147,903",0,"107,988,198",2.51,"9,282,183",0.65,"29,978,143",0,"11,497,711",0,"52,957,370",0.58,"229,981,748",0.19,"27,053,856",0,"4,427,397",0,"83,316,506",0.48,"86,577,442",0.04,"14,497,019",0.02,"103,399,799",0,"10,131,712",0
144,     Unemployment compensation,"66,375,083",0,"895,052",0,"831,482",0,"249,716",0,"691,166",0,"-5,647,367",0,"1,406,282",0,"169,198",0,"106,026",0,"362,809",0,"5,126,744",0,"1,744,050",0,"870,918",0,"901,574",0,"3,269,220",0,"-294,074",0,"1,841,204",0,"782,788",0,"-38,155",0,"1,907,040",0,"664,208",0,"2,005,262",0,"2,017,002",0,"5,148,552",0,"3,028,628",0,"1,171,622",0,"583,476",0,"560,004",0,"779,678",0,"694,854",0,"575,920",0,"1,834,420",0,"333,470",0,"465,852",0,"1,379,260",0,"306,472",0,"202,574",0,"2,468,514",0,"5,158,872",0,"2,254,896",0,"143,762",0,"350,354",0,"178,884",0,"1,853,296",0,"4,147,804",0,"1,762,962",0,"385,986",0,"1,518,058",0,"7,266,938",0,"229,440",0,"1,027,690",0,"700,700",0
145,     Employee retirement,"3,647,816,882",0.13,"31,842,495",0.05,"9,548,896",0,"46,080,374",0.01,"26,057,080",0.04,"727,984,391",0.1,"53,157,414",1.09,"38,771,064",2.49,"10,097,609",0.54,"9,287,092",0,"176,201,198",1.21,"95,291,724",0.81,"13,345,060",0,"14,452,536",0,"150,973,536",0.48,"30,935,396",0.15,"31,391,366",0,"18,158,722",0,"30,610,312",0.05,"45,716,701",0.39,"12,768,657",0,"66,234,979",3.01,"66,034,500",1.46,"80,486,569",1.26,"61,830,123",0.04,"26,126,985",0,"68,118,725",1.1,"9,264,296",0.01,"15,856,389",1.22,"34,516,292",0,"7,762,028",0,"79,080,611",0,"25,793,741",0,"444,303,019",0,"89,162,475",0,"4,921,443",0,"172,910,248",0,"31,180,147",0.1,"70,533,617",0,"104,122,721",2.6,"9,032,453",0.66,"29,222,434",0,"11,317,898",0,"51,104,074",0.6,"220,112,211",0.2,"23,327,512",0,"4,041,411",0,"81,792,827",0.49,"64,245,057",0.05,"12,653,382",0.02,"102,364,140",0,"7,692,952",0
146,     Workers' compensation,"100,665,438",0,0,0,"18,649",0,0,0,"122,922",0,"18,910,354",0,"2,244,672",0,"34,615",0,"2,987",0,0,0,"208,621",0,0,0,0,0,"648,604",0,"7,001",0,"4,079",0,"1,085",0,"9,072",0,"1,201,760",0,"46,343",0,"10,980",0,"1,928,235",0,"11,619",0,"36,203",0,"49,328",0,0,0,"5,319",0,"1,438,389",0,"3,857",0,0,0,0,0,"143,114",0,"49,017",0,"14,409,024",0,0,0,"1,755,550",0,"23,228,550",0,"1,546,801",0,"4,455,414",0,"1,610,581",0,0,0,"405,355",0,929,0,0,0,"5,721,733",0,"1,963,382",0,0,0,"5,621",0,"15,065,447",0,"1,614,197",0,"7,969",0,"1,738,060",0
147,     Miscellaneous,"9,261,568",0,0,0,0,0,0,0,0,0,"8,391,017",0,"103,741",0,0,0,0,0,0,0,0,0,"8,906",0,0,0,0,0,"10,579",0,0,0,0,0,0,0,0,0,"263,427",0,0,0,"217,959",0,"40,085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"119,886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"105,968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Other than insurance trust funds,"2,453,726,465",0.23,"24,372,942",0.67,"79,637,437",0.07,"40,910,684",0.54,"16,665,480",1.43,"314,658,404",1.29,"46,620,821",1.25,"22,826,658",0.45,"8,004,917",0.01,"5,904,216",0,"156,478,145",0.87,"44,305,181",0.95,"10,331,345",0,"11,128,659",1.15,"91,931,330",0.65,"49,854,219",0.54,"21,025,365",0.67,"20,602,525",2.22,"27,540,927",1.29,"40,174,727",0.54,"7,840,831",1.13,"29,926,168",0.5,"51,505,678",0.21,"61,409,000",0.93,"46,372,394",0.76,"12,734,342",0.77,"43,357,957",1.3,"10,508,868",0.19,"16,169,867",1.4,"15,059,077",0.38,"9,592,215",0.57,"60,474,337",0.56,"35,482,409",0.24,"184,635,511",0.29,"44,063,030",0.38,"22,961,165",1.6,"88,662,189",2.4,"22,804,951",0.51,"29,445,382",1.33,"97,878,342",0.61,"10,161,208",0.05,"31,436,806",0.32,"7,724,372",0.43,"40,342,603",0.58,"254,519,406",0.76,"15,660,367",0.69,"4,768,509",0.86,"51,554,899",0.45,"46,733,928",0.78,"10,549,794",0.41,"30,914,602",0.68,"25,502,276",1.17
149,   By purpose:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,          Offsets to debt,"759,415,050",0.32,"3,155,319",1.37,"3,795,057",0.31,"12,823,838",0.94,"5,234,015",3.92,"55,827,968",1.27,"15,178,196",2.26,"15,025,786",0.08,"2,152,645",0,"1,278,316",0,"24,734,864",2.69,"8,425,134",3.81,"987,435",0,"3,182,696",0.17,"35,430,818",0.39,"22,272,248",0.27,"5,991,113",1.24,"10,400,646",0.71,"15,340,122",1.92,"17,178,491",0.72,"3,605,273",0.44,"14,145,591",0,"27,562,716",0.03,"18,518,613",1.74,"18,504,796",0.92,"2,643,608",2.92,"19,542,472",1.27,"3,358,775",0.05,"2,235,905",2,"4,355,458",0.05,"4,992,018",0,"22,276,538",0.11,"5,681,854",1.36,"98,552,701",0.42,"12,451,289",0.49,"2,440,381",2.89,"38,988,821",4.7,"5,153,002",0.81,"8,672,564",1.7,"42,947,844",0.48,"6,578,948",0,"9,486,354",0.19,"2,791,105",0.65,"19,322,181",0.3,"47,356,281",1.76,"4,049,855",0.19,"2,318,396",0.05,"18,294,049",0.76,"13,443,359",0.11,"4,707,742",0.12,"15,219,053",0.16,"802,801",0.47
151,          Bond funds,"194,918,613",0.66,"2,081,642",3.92,"504,533",0,"3,300,585",0.67,"1,579,222",1.21,"30,008,178",3.92,"4,451,604",3.6,"927,672",0.32,"637,666",0,"472,674",0,"8,705,305",1.03,"6,195,731",0.36,"678,642",0,"796,862",3.61,"7,319,029",1.08,"1,669,568",4.89,"1,200,079",1.09,"1,794,879",1.96,"1,138,764",0.39,"3,517,480",0.12,"305,674",5.19,"1,621,856",0.07,"2,329,239",1.33,"6,105,148",0.65,"2,522,220",1.67,"551,744",2.46,"2,178,926",1.9,"348,149",0.28,"1,205,289",1.32,"2,434,139",0,"240,939",1.59,"7,146,354",2.45,"2,816,757",0,"12,428,179",1.11,"4,994,151",0.96,"406,820",0.42,"6,608,260",0.5,"1,542,414",2.85,"2,259,923",1.26,"10,103,683",1.15,"294,808",0,"2,106,316",1.1,"73,082",0.99,"2,523,912",1.65,"30,540,395",1.19,"2,219,606",1.06,"86,484",4.21,"4,208,147",2.37,"5,441,759",0.64,"451,902",0.63,"1,532,842",2.04,"309,381",0.61
152,          Other,"1,499,392,802",0.32,"19,135,981",0.7,"75,337,847",0.07,"24,786,261",0.75,"9,852,243",1.21,"228,822,258",1.67,"26,991,021",1.65,"6,873,200",1.49,"5,214,606",0.01,"4,153,226",0,"123,037,976",0.96,"29,684,316",0.91,"8,665,268",0,"7,149,101",1.75,"49,181,483",1.16,"25,912,403",0.96,"13,834,173",0.86,"8,407,000",5.35,"11,062,041",1.8,"19,478,756",0.9,"3,929,884",2.17,"14,158,721",1.07,"21,613,723",0.48,"36,785,239",1.29,"25,345,378",1.21,"9,538,990",0.61,"21,636,559",2.33,"6,801,944",0.3,"12,728,673",1.74,"8,269,480",0.7,"4,359,258",1.25,"31,051,445",0.92,"26,983,798",0.14,"73,654,631",0.43,"26,617,590",0.55,"20,113,964",1.8,"43,065,108",2.5,"16,109,535",0.62,"18,512,895",1.96,"44,826,815",1.22,"3,287,452",0.15,"19,844,136",0.48,"4,860,185",0.58,"18,496,510",1.2,"176,622,730",0.97,"9,390,906",1.13,"2,363,629",1.73,"29,052,703",0.55,"27,848,810",1.3,"5,390,150",0.79,"14,162,707",1.45,"24,390,094",1.22
